SalesOrder ID,Date,SalesOrder Number,Status,currency_code,Total
1.57E+18,Jan,SO-005340,confirmed,USA,1922.62
1.57E+18,Jan,SO-005341,confirmed,USA,1613.2
1.57E+18,Jan,SO-005341,confirmed,USA,1613.2
1.57E+18,Jan,SO-005341,confirmed,US,1613.2
1.57E+18,Jan,SO-005341,confirmed,US,1613.2
1.57E+18,Jan,SO-005341,confirmed,US,1613.2
1.57E+18,Jan,SO-005342,confirmed,US,1217.71
1.57E+18,Jan,SO-005343,confirmed,US,1458.6
1.57E+18,Jan,SO-005344,void,US,1458.6
1.57E+18,Jan,SO-005345,confirmed,US,1051.37
1.57E+18,Jan,SO-005345,confirmed,US,1051.37
1.57E+18,Jan,SO-005346,confirmed,US,2280.04
1.57E+18,Jan,SO-005346,confirmed,US,2280.04
1.57E+18,Jan,SO-005347,confirmed,US,324
1.57E+18,Jan,SO-005348,confirmed,US,406.1
1.57E+18,Jan,SO-005348,confirmed,US,406.1
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005355,invoiced,SG,200
1.57E+18,Jan,SO-005349,invoiced,US,54
1.57E+18,Jan,SO-005356,confirmed,EU,1548.8
1.57E+18,Jan,SO-005357,confirmed,EU,554.4
1.57E+18,Jan,SO-005358,confirmed,AU,2275.82
1.57E+18,Jan,SO-005358,confirmed,AU,2275.82
1.57E+18,Jan,SO-005358,confirmed,AU,2275.82
1.57E+18,Jan,SO-005358,confirmed,AU,2275.82
1.57E+18,Jan,SO-005358,confirmed,AU,2275.82
1.57E+18,Feb,SO-005359,confirmed,US,4039.27
1.57E+18,Feb,SO-005359,confirmed,US,4039.27
1.57E+18,Feb,SO-005359,confirmed,US,4039.27
1.57E+18,Feb,SO-005359,confirmed,US,4039.27
1.57E+18,Feb,SO-005359,confirmed,US,4039.27
1.57E+18,Feb,SO-005359,confirmed,US,4039.27
1.57E+18,Feb,SO-005359,confirmed,US,4039.27
1.57E+18,Feb,SO-005360,confirmed,US,930.86
1.57E+18,Feb,SO-005361,invoiced,US,40
1.57E+18,Feb,SO-005361,invoiced,US,40
1.57E+18,Feb,SO-005362,confirmed,US,645
1.57E+18,Feb,SO-005362,confirmed,US,645
1.57E+18,Feb,SO-005363,confirmed,EU,1336.2
1.57E+18,Feb,SO-005363,confirmed,EU,1336.2
1.57E+18,Feb,SO-005363,confirmed,EU,1336.2
1.57E+18,Feb,SO-005363,confirmed,EU,1336.2
1.57E+18,Feb,SO-005364,confirmed,US,1068.77
1.57E+18,Feb,SO-005364,confirmed,US,1068.77
1.57E+18,Feb,SO-005366,confirmed,US,304
1.57E+18,Feb,SO-005366,confirmed,US,304
1.57E+18,Feb,SO-005366,confirmed,US,304
1.57E+18,Feb,SO-005367,confirmed,US,70
1.57E+18,Feb,SO-005368,confirmed,EU,998.64
1.57E+18,Feb,SO-005368,confirmed,EU,998.64
1.57E+18,Feb,SO-005368,confirmed,EU,998.64
1.57E+18,Feb,SO-005370,confirmed,US,406.35
1.57E+18,Feb,SO-005370,confirmed,US,406.35
1.57E+18,Feb,SO-005371,confirmed,US,413.45
